001-463-574; Выбирайте камни по душе: аметист, сердолик, кварц розовый, бирюза, нефрит, яшма, оранжевый сердолик, коралл, тигровый глаз, унакит, лунный камень, лабрадорит, гранат, цитрин, агат, кошачий глаз. 
001-483-862 ;Подходит для всех видов кухонных плит и мангалов. Для холодного и горячего копчения в домашних условиях или на улице. 
001-519-972 ;Нарядные легкие шторы в золотистых тонах украсят окно и преобразят интерьер. Не деформируются, сохраняют первоначальный вид даже после многократных стирок. 
001-575-722 ;Надежная машинка для раскатки и нарезки теста позволит приготовить вкусную домашнюю лапшу. Регулируемая толщина теста (9 уровней), надежный зажим для фиксации устройства. 
001-575-986 ;Универсальный набор из нержавеющей стали. Энергосберегающее капсульное дно быстро и равномерно распределяет тепло. Сковорода с антипригарным покрытием. Стеклянные крышки с пароотводом. Подходят для всех типов плит, включая индукционные. 
001-575-995 ;Чугунный казан с антипригарным покрытием, подходит для всех типов плит (включая индукционные). Специальная арома-ручка на крышке позволяет готовить блюдо с добавлением ароматных масел или жидких специй. Приправа постепенно попадает в казан, раскрывая аромат в полной мере. Жаропрочное внешнее покрытие. 
001-603-618 ;"Многофункциональное средство на основе натуральных растительных и минеральных компонентов (малахит, молочная кислота, кора дуба, мумие, экстракты эхинацеи, шалфея, чистотела и др.). Оказывает антисептическое, антибактериальное, противогрибковое, дезодорирующее, обезболивающее действие, подавляет большинство аэробных и анаэробных инфекций. Вы можете использовать МАЛАВИТ для ежедневного очищения и гигиенического ухода за кожей лица и тела; санации ЛОР-органов и слизистых оболочек; гигиены полости рта и многих других целей. Объем: 50 мл. "
001-603-629 ;Ежедневное использование спрея помогает ухаживать за верхними дыхательными путями и служит профилактикой вирусных заболеваний. Спрей создан на основе гигиенического средства «Малавит», которое не имеет аналогов и состоит из натуральных растительных и минеральных компонентов (место сбора – Горный Алтай). 
001-603-810 ;Снимает боль различного происхождения, согревает, улучшает местное кровообращение, оказывает противовоспалительное действие, помогает бороться с отеками. В состав входят ценные натуральные масла, уникальный компонент «Малавит» экстракты трав, прополис. 
001-603-925 ;Более четкий контур лица и глубоко увлажненная кожа! Маска создана на основе гигиенического средства «Малавит», которое не имеет аналогов и состоит из натуральных растительных и минеральных компонентов. Устраняет видимые сосудистые расширения, сухость и следы усталости.  
001-608-608 ;Идеален для домашнего использования. Шлифованный бак, широкая горловина. Трубки для отвода конденсата не засоряются и долго служат. Проточный сухопарник очищает напиток от вредных фракций и сивушных масел. 
001-609-134 ;Мягкие сапожки из шерсти – это идеальная обувь для дома. В ней ваши ноги всегда будут теплыми и сухими: овечья шерсть впитывает лишнюю влагу (оставаясь сухой), а также имеет низкую теплопроводность (не выпускает тепло изнутри и не пропускает холод снаружи). Кроме того, натуральная овечья шерсть обладает обезболивающими и противовоспалительными свойствами. Именно поэтому шерстяные изделия рекомендуются людям, страдающим артритом, ортопедическими заболеваниями, нарушениями кровообращения. 
001-609-547 ;Литой алюминий. Мраморное антипригарное покрытие. Жаропрочное внешнее покрытие. Индукционное дно. Ручка с покрытием «soft touch».
001-632-195 ;Планшет, смартфон, медиаплеер – заряжайте любое мобильное устройство в автомобиле. Включается в прикуриватель. Кабель micro-USB в комплекте. 
001-636-397 ;Важное дополнение гардероба. Жилет хорошо сочетается с любыми вещами: рубашками, водолазками, свитерами, платьями. Лаконичное исполнение, удобная молния, прорезные застегивающиеся карманы. 
001-636-890 ;Оригинальный дизайн: имитация жакета, надетого поверх туники. Скрывает недостатки и формирует силуэт. 
001-637-926 ;Ваше здоровье под контролем! Фитнес-часы измеряют пульс, считают пройденные шаги и расход калорий, отслеживают фазы сна. Кроме того, браслет выводит информацию о ваших звонках и смс на дисплей. Защищен от воды и пыли по стандарту IPX65.
001-648-420 ;"Оригинальный привлекательный дизайн. Макс. площадь обогрева 20 кв. м. Возможные режимы работы: только эффект пламени; эффект пламени и 50% нагрев (750 Вт); эффект пламени и 100% нагрев (1500 Вт). "
001-651-468 ;Компактный планшет с емким аккумулятором (до 6 часов работы). 
001-655-509 ;Вязаный плед – очень модное украшение интерьера. Стильный дизайн и три самых популярных цвета: бирюзовый, шоколадный и молочный. Такой плед непременно впишется в любую обстановку. 
001-656-386 ;Потрясающий жакет из шерсти с дизайнерским рисунком. Декор создается при помощи переплетения нитей специальными иглами – никаких аппликаций и клея. Каждое изделие проходит строгий контроль качества. Приталенный крой, на подкладке, прорезные карманы по бокам. 
001-670-337 ;Сыворотка (30 мл) сокращает даже глубоки морщины. Натуральный комплекс ночного крема обеспечивает оптимальный уровень питания и увлажнения на 24 часа. Маска на основе талой воды альпийских ледников активно увлажняет и защищает кожу. 
001-670-360 ;Экстракт снежных водорослей, входящий в состав этих кремов, продлевает молодость кожи, останавливает разрушение коллагена, напитывает кожу влагой и убирает признаки увядания. Крем для кожи вокруг глаз (15 мл) разглаживает ее, устраняет отеки и темные круги. Восстанавливающая сыворотка (30 мл + 30 мл в подарок) подтягивает кожу, стимулирует процесс восстановления контуров лица, усиливает действие дневного и ночного кремов. Ночной крем (50 мл) стирает следы усталости, восстанавливает кожу и увлажняет ее на 24 часа. Очищающее молочко для снятия макияжа (200 мл) бережно снимает даже водостойкий макияж, обладает успокаивающим действием. Маски «Абсолютное питание» (75 мл) и «Абсолютное увлажнение» (75 мл) мгновенно насыщают кожу, тонизируют ее и обеспечивают оптимальный уровень питания и увлажнения. 
001-670-471 ;Сыворотка восстанавливает структуру кожи и контур лица, разглаживает глубокие мимические морщины, стимулирует выработку коллагена и эластина. Ночной крем устраняет дряблость кожи, уменьшает пигментацию, снимает отечность. Маска мгновенно насыщает и тонизирует кожу, повышает ее эластичность и упругость. 
001-688-594 ;Будьте всегда онлайн с легким и стильным планшетом. 
001-688-814 ;Сохраняет форму, не мнется, быстро сохнет после стирки. 
001-693-589 ;Эффективное вспомогательное средство при болях в области поясницы и суставах. Содержит комплекс активных противовоспалительных, противоотечных, противоревматических, согревающих и болеутоляющих компонентов природного происхождения. 
001-695-892 ;Профессиональный подход к консервированию. Готовить намного быстрее, чем при кипячении-закатывании. Надежная и прочная стальная конструкция, толстое дно с тепловым компенсатором. Нет риска обжечься, при сливе воды из бака: в нижней части есть специальный краник. Подходит для всех типов плит. 
001-697-109 ;Широкие лямки и спинка, без косточек. 
001-697-456 ;7 степеней поджарки тоста. Лоток для крошек. 
001-698-842 ;Полезные и полностью натуральные йогурты можно приготовить самим! И получится намного дешевле, чем покупать в магазине! Все, что вам потребуется – молоко и закваска. А уж вкусов может быть безграничное множество: ягоды, фрукты, шоколад, ваниль… 
001-699-157 ;Модные оттенки, шелковистый благородный блеск. Покрывало держит форму, не деформируется после стирки и быстро сохнет. 
001-699-166 ;Шелковистый материал и богатый кофейный цвет делают эти шторы настоящим украшением интерьера. Тип крепления: шторная лента. 
001-729-505 ;Идеальный телефон для работы, охоты и рыбалки. Водозащитный корпус, прочное стекло, 2 SIM-карты и надежная батарея. Громкая связь, будильник, калькулятор. 
001-735-223 ;Идеально подходит для запекания птицы, мяса и жаркого. Помимо духовки может использоваться на плите (включая индукционную поверхность). Выполнена из литого алюминия с мраморным покрытием. Стеклянная крышка в комплекте. 
001-742-306 ;Силуэт «годе», пояс на эластичной тесьме. Подол украшен стразами. 
001-742-337 ;Сочетание велюра и кружева. А-образный силуэт скрывает недостатки фигуры. 
001-762-153 ;Экологическое антипригарное керамическое покрытие. Складная ручка для компактного хранения. 
001-783-522 ;Продлит срок службы вашего матраса. Выполнен из микрофибры. 
001-795-728 ;Сенсорный мультитач экран с диагональю 5 дюймов, камера 8 Мп (фронтальная 5 Мп), встроенная вспышка, автофокус. 
001-799-050 ;Надежная сковорода с гранитным покрытием не допускает пригорания и легко моется. Крышка с эргономичной ручкой имеет пароотвод. 
001-804-836 ;Теплые цвета привнесут в спальню особенный уют. Белье выполнено из 100% хлопка. 
001-805-879 ;Россыпь луговых цветов на вашей кровати. Батистовый комплект прослужит долго и не потеряет яркость благодаря стойким импортным красителям. 
001-808-849 ;Идеальный вариант в холодное время года – искусственный мех внутри. Отлично тянутся и хорошо сочетаются с любой одеждой и обувью. 
001-823-464 ;Яркий комплект из прочного, износостойкого поплина. 
001-826-740 ;Уютный и очень мягкий комплект из велсофта. 
001-831-196 ;Нарядные шторы из приятной плотной ткани. Крепятся на шторную ленту. 
001-831-329 ;Шифоновая легкость этого тюля преобразит любое окно. Тип крепления: шторная лента. 
001-852-192 ;Комфортные бархатные брюки, не сковывают движений. Эластичная лента в поясе. 
001-854-775 ;Прямая юбка с декоративной вертикальной молнией зрительно вытягивает силуэт – визуально вы выглядите стройнее и выше. Сочетается с большинством вещей и практически любой обувью. 
001-873-338 ;Готовит 3 вида фарша (3 диска с перфорацией разного размера). Функция реверса (обратного хода) позволит очистить мясорубку от прожилок или излишков продуктов, затрудняющих движение механизма. В комплект входят 2 дополнительные насадки для приготовления домашних колбасок и кеббе. 
001-873-451 ;Компактный ноутбук с удобным и понятным интерфейсом на базе ОС Windows 10. Для ежедневного использования привычных программ MS Office. Возможность подключения принтера, сканера, цифровой камеры с помощью беспроводных модулей Wi-Fi и Bluetooth. 
001-877-834 ;Утепленные брюки на флисовой основе. Изготовлены из материала, имитирующего кожу, с кружевным рисунком. Отлично тянутся, не сковывают движений. Широкая эластичная лента в поясе утягивает животик. 
001-903-736 ;Тонкий корпус, большой 5-дюймовый дисплей, надежная батарея. Смартфон оснащен сканером отпечатков пальцев, который дополнительно может выполнять ключевые функции (управление камерой, галереей изображений, приложениями, запуском, разблокировкой, музыкой, видео). 
001-912-762 ;Легкий и маневренный пылесос Sinbo оперативно уберет крошки на кухне или песок у входной двери. Работает от сети, а значит его не нужно постоянно заряжать. 
001-926-696 ;Дополнительные панели для любого мультипекаря REDMOND с антипригарным покрытием. Побалуйте семью и гостей необычными угощениями. 
001-931-411 ;Лучшие классические игры для всей семьи! 400 встроенных игр (включая самые популярные: Супер Марио, «танчики», тетрис). Возможность просматривать фото и слушать музыку. 
001-938-877 ;Белье из искусственного шелка в подарочной упаковке. 
001-952-004 ;Полный комплект качественных инструментов из углеродистой стали – 186 предметов! Передвижной кейс для компактного хранения и легкой транспортировки. 
001-965-773 ;Эффектный кардиган с рукавами 3/4 и карманами. Застегивается сверху на 2 кнопки, благодаря чему образуется очень изящный разрез. 
001-985-679 ;Самый доступный способ насладится живописью: холст, краски и кисти собраны в одном наборе. И главное, вы будете уверены, что картина получится безупречной: просто нанесите соответствующие цвета на пронумерованные участки. Готовый холст украсит ваш дом или станет прекрасным подарком близкому человеку. В комплекте: холст на подрамнике, 4 кисти, акриловые краски (согласно количеству цветов в наборе), контрольный лист (копия пронумерованного рисунка для сверки), фурнитура для подвешивания картины. 
001-991-482 ;Прекрасный комплект ручной работы в благородных светлых тонах. 
001-994-991 ;Безупречно наточенные ножи – всегда! Долговечная и безопасная точилка имеет прорезиненную основу, предотвращающую скольжение и два уровня заточки: грубую и тонкую доводку. 
001-994-992 ;Современная сахарница со стеклянной крышкой и выемкой для хранения ложки. 
001-997-477 ;Чарующая классика: чувственный аромат-загадка, который покоряет с первых нот! Манящая тубероза и пряный иланг-иланг в самом сердце будят воображение и пробуждают женственность. 
002-006-854 ;Натуральная алтайская косметика с уникальным компонентом – пантогематогеном, обладающим мощным омолаживающим эффектом. Крем для лица омолаживающий с лифтинг-эффектом (75 мл) замедляет процессы старения кожи, повышает ее упругость. Крем для лица ночной (50 мл) активизирует антиоксидантную защиту кожи, корректирует овал лица, уменьшает видимые признаки возрастных изменений кожи. Сыворотка лифтинг-концентрат (30 мл) возвращает коже утраченный жизненный тонус, задерживает влагу в коже, интенсивно ее увлажняет. Крем-гель для кожи вокруг глаз (30 мл) уменьшает припухлости и темные круги под глазами, разглаживает мелкие морщинки. 
002-008-001 ;Ноги в этих туфлях выглядят стройными, при этом высота танкетки не ощущается в полной мере (благодаря скрытой платформе). Украшены аппликацией из страз. 
002-021-769 ;Позолоченный кулон из серебра 925 пробы, инкрустированный фианитами. Подвижный элемент создает дополнительные блики. 
002-022-643 ;Выбор настоящего шеф-повара! Все необходимое для приготовления самых различных блюд – есть в этом наборе. Высокое качество исполнения: нержавеющая сталь, ручки устойчивы к нагреванию, крышки из жаропрочного стекла, 5-слойное теплоаккумулирующее дно. Подходит для всех типов плит.
002-053-360 ;Простой и увлекательный процесс доставит вам удовольствие. Результатом вашей работы станет потрясающая картина с объемным изображением и переливающимся акцентами. 
002-068-673 ;Два метра бус из натурального янтаря! Вы можете выбрать отшлифованный камень, с гладкой блестящей поверхностью, либо же необработанный янтарь, сохранивший свою природную шероховатость. 
002-096-388 ;Самый быстрый способ влажной уборки! Вы сможете оперативно протереть полы и избавить дом от пыли. Не нужно постоянно снимать насадку, чтобы ее намочить – просто нажмите на рычаг, расположенный на ручке, и вода распылится автоматически. В резервуар с водой можно добавить моющее средство. Насадка двусторонняя – крупный и мелкий ворс, для более тщательной уборки. Компактное хранение. 
002-096-612 ;Без мешков для сбора пыли, съемный контейнер легко чистить. Технология мультициклон обеспечивает постоянную высокую мощность всасывания. Пылесос оснащен 7-ступенчатой системой фильтрации воздуха. 
002-102-870 ;Отличная возможность снизить вес, подтянуть мышцы и улучшить самочувствие. Занятия на «Кардиостеппере» позволяют сжигать лишние калории, а также благотворно сказываются на работе сердца и сердечно-сосудистой системы. Для вашего удобства тренажер имеет 7 уровней нагрузки и дисплей, отображающий потраченные калории, количество шагов и продолжительность тренировки. В комплект входит описание комплекса упражнений, разработанного специально для этой модели. 
002-103-326 ;Практичная сковорода с антипригарным мраморным покрытием. Подходит для всех типов плит. Ручка с покрытием Soft Touch. 
002-104-224 ;Поможет придать законченный вид вашим картинам, вышивкам, фотографиям. Три цвета и дизайна на выбор. Материал: пластик/дерево с декоративным гипсовым покрытием. 
002-104-739 ;Значительно облегчает процесс нанизывания бисера на иглу. Широкие и неглубокие ячейки позволяют легко поддеть бусину. 21 отделение с индивидуальными крышками. 
002-121-947 ;Благородный мужской аромат с легкими цитрусовыми нотами и потрясающим древесным шлейфом. Был создан одной из самых известных европейских парфюмерных компаний Dzintars. Летом аромат раскрывается свежими тонизирующими нотками, а в прохладное время берут верх теплые древесные аккорды.
002-127-377 ;Чехол-трансформер легко превращается в подставку для планшета. Имеет несколько углов наклона – для просмотра видео или набора текста. Складывающаяся часть фиксируется магнитом. Планшет крепится в чехле с помощью резиновых уголков. 
002-130-041 ;Надежный классический телефон с громким звонком и ярким цветным экраном. Простой и удобный интерфейс. 
002-137-482 ;Эти крема относятся к категории космецевтики (косметика с лечебными свойствами). Они произведены на фармацевтическом заводе в Италии и протестированы дерматологами. Высокая эффективность обусловлена тем, что крема созданы на натуральной основе и содержат редкие и ценные компоненты. Крем против морщин (50 мл) уменьшает глубину заломов, улучшает овал лица, возвращает коже упругость. Ночной крем (50 мл) для глубокого увлажнения и питания в ночное время стимулирует синтез коллагена и эластина. Эмульсия для области вокруг глаз (20 мл) успокаивает и увлажняет нежную кожу, препятствует образованию отечности и темных кругов, разглаживает морщинки. 
002-139-688 ;Роскошные шторы выглядят так, словно их сшили на заказ. Такой комплект преобразит любую комнату. 
002-139-722 ;Крой «солнце», на кокетке. В поясе эластичная лента. 
002-140-668 ;Невесомый мягкий плед подарит тепло и уют. Современный рисунок впишется в любой интерьер. Материал велсофт не деформируется, не скатывается, быстро сохнет после стирки. 
002-145-818 ;Практичный комплект из покрывала и двух подушек (50х50 см). Выполнены из микрофибры. Покрывало не мнется, не деформируется, быстро сохнет. 
002-159-027 ;Цветы выглядят очень реалистично, светятся мягким успокаивающим светом. Выключатель на корпусе. 
002-167-689 ;Белье высокого качества из 100 % хлопка. Бесшовная простыня в комплекте. Не деформируется и не теряет цвет после стирки. 
002-170-054 ;Мягкий и прочный поплин, из которого изготовлен этот комплект, выдерживает большое количество стирок. 
002-174-543 ;Лакомство для всей семьи, которое просто готовить с помощью современной вафельницы. Внутренняя поверхность имеет антипригарное покрытие, нагревается в считаные секунды. Корпус выполнен из качественного износостойкого пластика с хорошей системой термоизоляции. Прорезиненные ножки и световые индикаторы включения и степени нагрева для комфорта в использовании. 
002-177-058 ;Декоративный светильник с приятным мягким светом украсит любой интерьер и создаст уют. 
002-192-775 ;Вязаный берет, украшенный аппликацией из страз и бусин. 
002-195-039 ;Все, что может понадобиться для готовки первых и вторых блюд – есть в этом наборе. Посуда выполнена из высококачественной стали, многослойное дно обеспечивает превосходное распределение и сохранение тепла. Подходит для всех типов плит. 
